yer	yer+Noun+A3sg+Pnon+Nom	Noun	O
alacak	al+Verb+Pos+Fut+A3sg	Verb	O

Halk	halk+Noun+A3sg+Pnon+Nom	Noun	O
müziğinden	m\u00fczik+Noun+A3sg+P3sg+Abl	Noun	O
caza	caz+Noun+A3sg+Pnon+Dat	Noun	O
,	,+Punc	Punc	O
klasik	klasik+Adj	Adj	O
batı	bat\u0131+Noun+A3sg+Pnon+Nom	Noun	O
müziğinden	m\u00fczik+Noun+A3sg+P3sg+Abl	Noun	O
klasik	klasik+Adj	Adj	O
Türk	t\u00fcrk+Noun+A3sg+Pnon+Nom	Noun	O
müziğine	m\u00fczik+Noun+A3sg+P3sg+Dat	Noun	O
,	,+Punc	Punc	O
rock'tan	*UNKNOWN*	[UNK]	O
etnik	etnik+Adj	Adj	O
müziğe	m\u00fczik+Noun+A3sg+Pnon+Dat	Noun	O
uzanan	uza+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart	Adj	O
konserlerin	konser+Noun+A3pl+Pnon+Gen	Noun	O
yanı	yan+Noun+A3sg+P3sg+Nom	Noun	O
sıra	s\u0131ra+Noun+A3sg+Pnon+Nom	Noun	O
,	,+Punc	Punc	O
atölye	at\u00f6lye+Noun+A3sg+Pnon+Nom	Noun	O
çalışmaları	\u00e7al\u0131\u015f+Verb+Pos^DB+Noun+Inf2+A3sg+P3pl+Nom	Noun	O
,	,+Punc	Punc	O
panel	panel+Noun+A3sg+Pnon+Nom	Noun	O
ve	ve+Conj	Conj	O
söyleşiler	s\u00f6yle\u015fi+Noun+A3pl+Pnon+Nom	Noun	O
,	,+Punc	Punc	O
çocuk	\u00e7ocuk+Noun+A3sg+Pnon+Nom	Noun	O
etkinlikleri	etkin+Adj^DB+Noun+Ness+A3pl+P3sg+Nom	Ness	O
,	,+Punc	Punc	O
CD	cd+Noun+A3sg+Pnon+Nom	Noun	O
ve	ve+Conj	Conj	O
kitap	kitap+Noun+A3sg+Pnon+Nom	Noun	O
satışı	sat+Verb+Pos^DB+Noun+Inf3+A3sg+P3sg+Nom	Noun	O
gibi	gibi+Postp+PCNom	PCNom	O
etkinlikler	etkin+Adj^DB+Noun+Ness+A3pl+Pnon+Nom	Ness	O
Şenlik'i	\u015fenlik+Noun+Prop+A3sg+Pnon+Acc	Prop	O
destekleyecek	destekle+Verb+Pos+Fut+A3sg	Verb	O

Geçtiğimiz	ge\u00e7+Verb+Pos^DB+Adj+PastPart+P1pl	Adj	O
yıl	y\u0131l+Noun+A3sg+Pnon+Nom	Noun	O
ilki	ilk+Adj^DB+Noun+Zero+A3sg+P3sg+Nom	Zero	O
büyük	b\u00fcy\u00fck+Adj	Adj	O
heyecan	heyecan+Noun+A3sg+Pnon+Nom	Noun	O
yaratan	yarat+Verb+Pos^DB+Adj+PresPart	Adj	O
,	,+Punc	Punc	O
müzik	m\u00fczik+Noun+A3sg+Pnon+Nom	Noun	O
ile	ile+Postp+PCNom	PCNom	O
ilgili	ilgi+Noun+A3sg+Pnon+Nom^DB+Adj+With	With	O
her	her+Det	Det	O
kesimden	kesim+Noun+A3sg+Pnon+Abl	Noun	O
insanı	insan+Noun+A3sg+P3sg+Nom	Noun	O
tek	tek+Adj	Adj	O
bir	bir+Det	Det	O
çatı	\u00e7at\u0131+Noun+A3sg+Pnon+Nom	Noun	O
altında	alt+Noun+A3sg+P3sg+Loc	Noun	O
,	,+Punc	Punc	O
keyifli	keyif+Noun+A3sg+Pnon+Nom^DB+Adj+With	With	O
bir	bir+Det	Det	O
ortamda	ortam+Noun+A3sg+Pnon+Loc	Noun	O
buluşturmayı	bulu\u015f+Verb^DB+Verb+Caus+Pos^DB+Noun+Inf2+A3sg+Pnon+Acc	Noun	O
,	,+Punc	Punc	O
müziği	m\u00fczik+Noun+A3sg+P3sg+Nom	Noun	O
ve	ve+Conj	Conj	O
